ACCIDENT_NO,ATMOSPH_COND_DESC,ATMOSPH_INDEX
T20180007461,Clear,1.0
T20180007462,Clear,1.0
T20180007465,Clear,1.0
T20180007467,Clear,1.0
T20180007469,Clear,1.0
T20180007470,Clear,1.0
T20180007471,Clear,1.0
T20180007472,Clear,1.0
T20180007473,Clear,1.0
T20180007474,Clear,1.0
T20180007475,Clear,1.0
T20180007476,Clear,1.0
T20180007477,Clear,1.0
T20180007479,Clear,1.0
T20180007480,Clear,1.0
T20180007483,Clear,1.0
T20180007485,Clear,1.0
T20180007486,Clear,1.0
T20180007489,Clear,1.0
T20180007490,Clear,1.0
T20180007491,Clear,1.0
T20180007496,Clear,1.0
T20180007497,Clear,1.0
T20180007502,Clear,1.0
T20180007503,Clear,1.0
T20180007504,Clear,1.0
T20180007505,Clear,1.0
T20180007511,Fog,6.0
T20180007512,Fog,6.0
T20180007513,Fog,6.0
T20180007514,Clear,1.0
T20180007517,Clear,1.0
T20180007518,Clear,1.0
T20180007519,Clear,1.0
T20180007523,Clear,1.0
T20180007525,Clear,1.0
T20180007527,Clear,1.0
T20180007528,Clear,1.0
T20180007529,Clear,1.0
T20180007531,Clear,1.0
T20180007532,Clear,1.0
T20180007533,Clear,1.0
T20180007534,Clear,1.0
T20180007536,Clear,1.0
T20180007537,Clear,1.0
T20180007540,"Raining, Strong winds",2.33
T20180007543,Dust,4.0
T20180007544,Clear,1.0
T20180007546,Clear,1.0
T20180007548,Clear,1.0
T20180007549,Clear,1.0
T20180007551,Fog,6.0
T20180007555,Clear,1.0
T20180007557,Fog,6.0
T20180007558,Clear,1.0
T20180007563,Clear,1.0
T20180007564,Clear,1.0
T20180007566,Fog,6.0
T20180007570,Clear,1.0
T20180007573,Fog,6.0
T20180007578,Raining,3.0
T20180007581,Clear,1.0
T20180007582,Clear,1.0
T20180007583,Clear,1.0
T20180007585,Clear,1.0
T20180007587,Clear,1.0
T20180007590,Clear,1.0
T20180007592,Clear,1.0
T20180007593,Clear,1.0
T20180007594,Clear,1.0
T20180007596,Clear,1.0
T20180007597,Clear,1.0
T20180007598,Clear,1.0
T20180007600,Clear,1.0
T20180007601,Clear,1.0
T20180007602,Clear,1.0
T20180007603,Clear,1.0
T20180007604,Clear,1.0
T20180007605,Clear,1.0
T20180007607,Clear,1.0
T20180007608,Clear,1.0
T20180007613,Clear,1.0
T20180007615,Clear,1.0
T20180007616,Clear,1.0
T20180007620,Fog,6.0
T20180007621,Clear,1.0
T20180007624,Clear,1.0
T20180007626,Fog,6.0
T20180007631,Clear,1.0
T20180007635,Clear,1.0
T20180007639,Clear,1.0
T20180007640,Fog,6.0
T20180007643,Clear,1.0
T20180007644,Clear,1.0
T20180007646,Clear,1.0
T20180007648,Clear,1.0
T20180007649,Clear,1.0
T20180007650,Clear,1.0
T20180007654,Clear,1.0
T20180007656,Dust,4.0
T20180007659,Clear,1.0
T20180007660,Clear,1.0
T20180007661,Clear,1.0
T20180007662,Clear,1.0
T20180007664,Clear,1.0
T20180007665,Clear,1.0
T20180007666,Clear,1.0
T20180007668,Clear,1.0
T20180007671,Clear,1.0
T20180007672,Clear,1.0
T20180007674,Clear,1.0
T20180007675,Clear,1.0
T20180007679,Clear,1.0
T20180007681,Clear,1.0
T20180007682,Clear,1.0
T20180007685,Clear,1.0
T20180007687,Clear,1.0
T20180007692,Clear,1.0
T20180007693,Fog,6.0
T20180007701,Clear,1.0
T20180007702,Clear,1.0
T20180007703,Clear,1.0
T20180007706,Clear,1.0
T20180007707,Clear,1.0
T20180007708,Clear,1.0
T20180007710,Clear,1.0
T20180007711,Clear,1.0
T20180007713,Clear,1.0
T20180007717,Clear,1.0
T20180007720,Clear,1.0
T20180007722,Clear,1.0
T20180007723,Dust,4.0
T20180007725,Clear,1.0
T20180007726,Clear,1.0
T20180007727,Clear,1.0
T20180007728,Clear,1.0
T20180007729,Dust,4.0
T20180007731,Clear,1.0
T20180007733,Raining,3.0
T20180007738,Clear,1.0
T20180007739,Clear,1.0
T20180007745,Clear,1.0
T20180007746,Raining,3.0
T20180007747,Raining,3.0
T20180007749,Raining,3.0
T20180007751,Clear,1.0
T20180007752,Clear,1.0
T20180007753,Clear,1.0
T20180007754,Clear,1.0
T20180007756,Clear,1.0
T20180007757,Raining,3.0
T20180007758,Clear,1.0
T20180007759,Clear,1.0
T20180007762,Clear,1.0
T20180007763,Clear,1.0
T20180007764,Raining,3.0
T20180007765,Clear,1.0
T20180007766,Clear,1.0
T20180007770,Clear,1.0
T20180007775,Clear,1.0
T20180007776,Clear,1.0
T20180007778,Clear,1.0
T20180007781,Clear,1.0
T20180007782,Clear,1.0
T20180007783,Clear,1.0
T20180007784,Clear,1.0
T20180007785,Clear,1.0
T20180007786,Clear,1.0
T20180007788,Clear,1.0
T20180007789,Raining,3.0
T20180007790,Clear,1.0
T20180007792,Clear,1.0
T20180007794,Clear,1.0
T20180007797,Clear,1.0
T20180007798,Clear,1.0
T20180007799,Clear,1.0
