ACCIDENT_NO,ATMOSPH_COND_DESC,ATMOSPH_INDEX
T20180009002,Raining,3.0
T20180009003,Clear,1.0
T20180009004,"Raining, Strong winds",2.33
T20180009007,Clear,1.0
T20180009011,Clear,1.0
T20180009012,Raining,3.0
T20180009013,Clear,1.0
T20180009016,Raining,3.0
T20180009021,Clear,1.0
T20180009022,Clear,1.0
T20180009027,Clear,1.0
T20180009029,Raining,3.0
T20180009037,Clear,1.0
T20180009039,Clear,1.0
T20180009040,Clear,1.0
T20180009041,Clear,1.0
T20180009042,Raining,3.0
T20180009044,Clear,1.0
T20180009046,Clear,1.0
T20180009047,Clear,1.0
T20180009048,Clear,1.0
T20180009049,Clear,1.0
T20180009050,Clear,1.0
T20180009051,Clear,1.0
T20180009056,Clear,1.0
T20180009057,Clear,1.0
T20180009058,Raining,3.0
T20180009059,Clear,1.0
T20180009062,Clear,1.0
T20180009073,Clear,1.0
T20180009075,Clear,1.0
T20180009076,Fog,6.0
T20180009077,Clear,1.0
T20180009080,Clear,1.0
T20180009081,Clear,1.0
T20180009082,Clear,1.0
T20180009083,Fog,6.0
T20180009084,Clear,1.0
T20180009087,Clear,1.0
T20180009090,Fog,6.0
T20180009091,Fog,6.0
T20180009092,Clear,1.0
T20180009093,Clear,1.0
T20180009094,Clear,1.0
T20180009097,Clear,1.0
T20180009101,Clear,1.0
T20180009102,Fog,6.0
T20180009104,Clear,1.0
T20180009105,Clear,1.0
T20180009107,Smoke,5.0
T20180009108,Fog,6.0
T20180009109,Clear,1.0
