ACCIDENT_NO,SURFACE_COND_DESC,SURFACE_INDEX
T20210012080,Dry,1.0
T20210012081,Dry,1.0
T20210012082,Dry,1.0
T20210012090,Dry,1.0
T20210012093,Dry,1.0
T20210012095,Wet,2.0
T20210012099,Dry,1.0
T20210012101,Dry,1.0
T20210012102,Wet,2.0
T20210012103,Dry,1.0
T20210012105,Dry,1.0
T20210012107,Dry,1.0
T20210012112,Dry,1.0
T20210012113,Dry,1.0
T20210012114,Dry,1.0
T20210012116,Dry,1.0
T20210012117,Dry,1.0
T20210012120,Dry,1.0
T20210012122,Dry,1.0
T20210012124,Dry,1.0
T20210012125,Dry,1.0
T20210012127,Dry,1.0
T20210012129,Dry,1.0
T20210012133,Dry,1.0
T20210012134,Dry,1.0
T20210012140,Dry,1.0
T20210012151,Dry,1.0
T20210012154,Dry,1.0
T20210012155,Dry,1.0
T20210012156,Dry,1.0
T20210012157,Dry,1.0
T20210012158,Dry,1.0
T20210012159,Dry,1.0
T20210012165,Wet,2.0
T20210012167,Dry,1.0
T20210012169,Dry,1.0
T20210012171,Dry,1.0
T20210012177,Dry,1.0
T20210012180,Dry,1.0
T20210012181,Dry,1.0
T20210012182,Dry,1.0
T20210012185,Dry,1.0
T20210012188,Dry,1.0
T20210012194,Dry,1.0
T20210012198,Dry,1.0
T20210012201,Dry,1.0
T20210012202,Dry,1.0
T20210012204,Dry,1.0
T20210012205,Dry,1.0
T20210012206,Dry,1.0
T20210012209,Wet,2.0
T20210012213,Dry,1.0
T20210012216,Dry,1.0
T20210012217,Dry,1.0
T20210012223,Dry,1.0
T20210012224,Dry,1.0
T20210012225,Dry,1.0
T20210012226,Dry,1.0
T20210012227,Dry,1.0
T20210012228,Dry,1.0
T20210012231,Wet,2.0
T20210012235,Dry,1.0
T20210012237,Dry,1.0
T20210012238,Dry,1.0
T20210012239,Dry,1.0
T20210012240,Dry,1.0
T20210012242,Dry,1.0
T20210012243,Dry,1.0
T20210012246,Dry,1.0
T20210012250,Dry,1.0
T20210012251,Dry,1.0
T20210012259,Icy,5.0
T20210012262,Dry,1.0
T20210012266,Dry,1.0
T20210012273,Dry,1.0
T20210012275,Dry,1.0
T20210012276,Dry,1.0
T20210012277,Wet,2.0
T20210012278,Dry,1.0
T20210012282,Dry,1.0
T20210012283,Dry,1.0
T20210012285,Wet,2.0
T20210012290,Dry,1.0
T20210012294,Dry,1.0
T20210012304,Dry,1.0
T20210012305,Dry,1.0
T20210012306,Dry,1.0
T20210012308,Dry,1.0
T20210012309,Dry,1.0
T20210012312,Dry,1.0
T20210012315,Dry,1.0
T20210012316,Wet,2.0
T20210012319,Dry,1.0
T20210012321,Dry,1.0
T20210012327,Dry,1.0
T20210012330,Dry,1.0
T20210012333,Dry,1.0
T20210012334,Dry,1.0
T20210012341,Dry,1.0
T20210012342,Dry,1.0
T20210012344,Dry,1.0
T20210012352,Dry,1.0
T20210012353,Dry,1.0
T20210012354,Dry,1.0
T20210012359,Dry,1.0
T20210012360,Dry,1.0
T20210012362,Dry,1.0
T20210012363,Dry,1.0
T20210012364,Dry,1.0
T20210012365,Wet,2.0
T20210012366,Dry,1.0
T20210012370,Dry,1.0
T20210012374,Wet,2.0
T20210012375,Dry,1.0
T20210012376,Wet,2.0
T20210012377,Dry,1.0
T20210012379,Dry,1.0
T20210012380,Dry,1.0
T20210012383,Dry,1.0
T20210012384,Dry,1.0
T20210012387,Dry,1.0
T20210012392,Dry,1.0
T20210012393,Dry,1.0
T20210012394,Dry,1.0
T20210012396,Dry,1.0
T20210012398,Dry,1.0
T20210012399,Dry,1.0
T20210012401,Dry,1.0
T20210012403,Dry,1.0
T20210012407,Wet,2.0
T20210012408,Dry,1.0
T20210012410,Dry,1.0
T20210012413,Dry,1.0
T20210012415,Dry,1.0
T20210012421,Dry,1.0
T20210012422,Dry,1.0
T20210012423,Dry,1.0
T20210012424,Dry,1.0
T20210012427,Dry,1.0
T20210012428,Wet,2.0
T20210012430,Dry,1.0
T20210012431,Wet,2.0
T20210012434,Dry,1.0
T20210012435,Dry,1.0
T20210012436,Wet,2.0
T20210012437,Dry,1.0
T20210012438,Wet,2.0
T20210012439,Dry,1.0
T20210012441,Dry,1.0
T20210012442,Dry,1.0
T20210012443,Dry,1.0
T20210012444,Wet,2.0
T20210012446,Dry,1.0
T20210012448,Dry,1.0
T20210012450,Dry,1.0
T20210012453,Dry,1.0
T20210012454,Dry,1.0
T20210012456,Dry,1.0
T20210012457,Dry,1.0
T20210012458,Dry,1.0
T20210012461,Dry,1.0
T20210012462,Dry,1.0
T20210012463,Dry,1.0
T20210012464,Dry,1.0
T20210012465,Dry,1.0
T20210012466,Dry,1.0
T20210012468,Wet,2.0
T20210012469,Dry,1.0
T20210012471,Wet,2.0
T20210012472,Wet,2.0
T20210012473,Dry,1.0
T20210012479,Dry,1.0
T20210012481,Dry,1.0
T20210012483,Dry,1.0
T20210012491,Dry,1.0
T20210012492,Dry,1.0
T20210012493,Wet,2.0
T20210012495,Dry,1.0
T20210012498,Wet,2.0
T20210012501,Dry,1.0
T20210012502,Dry,1.0
T20210012504,Dry,1.0
T20210012505,Dry,1.0
T20210012506,Dry,1.0
T20210012510,Dry,1.0
T20210012511,Dry,1.0
T20210012512,Muddy,3.0
T20210012513,Dry,1.0
T20210012517,Dry,1.0
T20210012518,Dry,1.0
T20210012519,Dry,1.0
T20210012520,Dry,1.0
T20210012525,Dry,1.0
T20210012526,Dry,1.0
T20210012527,Wet,2.0
T20210012530,Dry,1.0
T20210012532,Dry,1.0
T20210012537,Wet,2.0
T20210012539,Dry,1.0
T20210012540,Dry,1.0
T20210012545,Dry,1.0
